"Date","Site","Purpose.of.Visit","Trap.ID..Snag.ID.No.snag...","Trap.category","Snag.Species","Snag.decay.class","Snag.size.class","Number.of.cavities","Percent.punky.wood","Percent.bark","Lowest.limb.height.above.trap..mm.","y","x","Distance.to.nearest.snag..m.","Distance.to.nearest.tree..m.","Seeds.collected.according.to.Shelby","Camera.ID.Facing","Pictures.videos.downloaded.","Tot.seeds"
2025-08-18,"Arcadia","Collection","No snag 1","Canopy gap",NA,NA,NA,NA,NA,NA,NA,30.776843,-84.004927,"?","7.9","No",NA,NA,0
2025-09-03,"Arcadia","Collection","No snag 1","Canopy gap",NA,NA,NA,NA,NA,NA,NA,30.776843,-84.004927,"?","7.9","Yes",NA,NA,0
2025-09-18,"Arcadia","Final collection/trap takedown","No snag 1","Canopy gap",NA,NA,NA,NA,NA,NA,NA,30.776843,-84.004927,"?","7.9","No","Bushnell 14, pointing N at trap",NA,0
2025-08-18,"Arcadia","Collection","No snag 2","Canopy gap",NA,NA,NA,NA,NA,NA,NA,30.756241,-84.999642,"38","7.7","Yes",NA,NA,0
2025-09-03,"Arcadia","Collection","No snag 2","Canopy gap",NA,NA,NA,NA,NA,NA,NA,30.756241,-84.999642,"38","7.7","No",NA,NA,0
2025-09-18,"Arcadia","Final collection/trap takedown","No snag 2","Canopy gap",NA,NA,NA,NA,NA,NA,NA,30.756241,-84.999642,"38","7.7","No","Bushnell 15, pointing N at trap",NA,0
2025-08-18,"Arcadia","Collection","No snag 3","Canopy gap",NA,NA,NA,NA,NA,NA,NA,30.75067,-84.003527,"35","11.8","No",NA,NA,0
2025-09-03,"Arcadia","Collection","No snag 3","Canopy gap",NA,NA,NA,NA,NA,NA,NA,30.75067,-84.003527,"35","11.8","Yes",NA,NA,0
2025-09-18,"Arcadia","Final collection/trap takedown","No snag 3","Canopy gap",NA,NA,NA,NA,NA,NA,NA,30.75067,-84.003527,"35","11.8","No","Bushnell 12, pointing N at trap",NA,0
2025-08-18,"Arcadia","Collection","Snag 3","Snag","TBD","TBD","TBD","TBD","TBD","TBD",15240,30.758825,-84.012102,NA,"7.1","Yes",NA,NA,0
2025-09-03,"Arcadia","Collection","Snag 3","Snag","TBD","TBD","TBD","TBD","TBD","TBD",15240,30.758825,-84.012102,NA,"7.1","No",NA,NA,0
2025-09-18,"Arcadia","Final collection/trap takedown","Snag 3","Snag","TBD","TBD","TBD","TBD","TBD","TBD",15240,30.758825,-84.012102,NA,"7.1","Yes","Bushnell 13, pointing N at trap",NA,1
2025-08-18,"Arcadia","Collection","Snag 423","Snag","longleaf","2","51-60","1","100","95",13716,30.769028,-84.017554,NA,"6.3","Yes",NA,NA,3
2025-09-03,"Arcadia","Collection","Snag 423","Snag","longleaf","2","51-60","1","100","95",13716,30.769028,-84.017554,NA,"6.3","Yes",NA,NA,1
2025-09-18,"Arcadia","Final collection/trap takedown","Snag 423","Snag","longleaf","2","51-60","1","100","95",13716,30.769028,-84.017554,NA,"6.3","Yes","Bushnell 11, pointing N at trap",NA,4
