Date,Site,Purpose of Visit,Trap ID (Snag ID/No snag #),Trap category,Snag Species,Snag decay class,Snag size class,Number of cavities,Percent punky wood,Percent bark,Lowest limb height above trap (mm),y,x,Distance to nearest snag (m),Distance to nearest tree (m),Seeds collected according to Shelby,Camera ID/Facing,Pictures/videos downloaded?,NYSY,PAQU,MAGR,CAAE,PHAM,SACA,SOBI,HETE,CEVI,RHCO,Rubus,Pinus,QUERCUS.broken,Euphorbiaceae,large pale teardrop,large pale w. raphe,large circular flat pale seed,flat square seed,small pale teardrop,1 brown urn shaped seed,small white round seed,flat speckled oval seed,large dark oval seed,white little seed,"half seed shell, tan",tan oval seed,broken small brown seed fragments,broken smooth tan seed,orange-brown seed with round attatchment scar,crackly brown seed
8/18/25,Arcadia,Collection,No snag 1,Canopy gap,NA,NA,NA,NA,NA,NA,NA,30.776843,-84.004927,?,7.9,No,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/25,Arcadia,Collection,No snag 1,Canopy gap,NA,NA,NA,NA,NA,NA,NA,30.776843,-84.004927,?,7.9,Yes,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/25,Arcadia,Final collection/trap takedown,No snag 1,Canopy gap,NA,NA,NA,NA,NA,NA,NA,30.776843,-84.004927,?,7.9,No,"Bushnell 14, pointing N at trap",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/25,Arcadia,Collection,No snag 2,Canopy gap,NA,NA,NA,NA,NA,NA,NA,30.756241,-84.999642,38,7.7,Yes,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/25,Arcadia,Collection,No snag 2,Canopy gap,NA,NA,NA,NA,NA,NA,NA,30.756241,-84.999642,38,7.7,No,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/25,Arcadia,Final collection/trap takedown,No snag 2,Canopy gap,NA,NA,NA,NA,NA,NA,NA,30.756241,-84.999642,38,7.7,No,"Bushnell 15, pointing N at trap",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/25,Arcadia,Collection,No snag 3,Canopy gap,NA,NA,NA,NA,NA,NA,NA,30.75067,-84.003527,35,11.8,No,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/25,Arcadia,Collection,No snag 3,Canopy gap,NA,NA,NA,NA,NA,NA,NA,30.75067,-84.003527,35,11.8,Yes,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/25,Arcadia,Final collection/trap takedown,No snag 3,Canopy gap,NA,NA,NA,NA,NA,NA,NA,30.75067,-84.003527,35,11.8,No,"Bushnell 12, pointing N at trap",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/25,Arcadia,Collection,Snag 3,Snag,TBD,TBD,TBD,TBD,TBD,TBD,15240,30.758825,-84.012102,NA,7.1,Yes,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/25,Arcadia,Collection,Snag 3,Snag,TBD,TBD,TBD,TBD,TBD,TBD,15240,30.758825,-84.012102,NA,7.1,No,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/25,Arcadia,Final collection/trap takedown,Snag 3,Snag,TBD,TBD,TBD,TBD,TBD,TBD,15240,30.758825,-84.012102,NA,7.1,Yes,"Bushnell 13, pointing N at trap",NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/25,Arcadia,Collection,Snag 423,Snag,longleaf,2,51-60,1,100,95,13716,30.769028,-84.017554,NA,6.3,Yes,NA,NA,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
9/3/25,Arcadia,Collection,Snag 423,Snag,longleaf,2,51-60,1,100,95,13716,30.769028,-84.017554,NA,6.3,Yes,NA,NA,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/25,Arcadia,Final collection/trap takedown,Snag 423,Snag,longleaf,2,51-60,1,100,95,13716,30.769028,-84.017554,NA,6.3,Yes,"Bushnell 11, pointing N at trap",NA,,,,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,
8/18/25,Arcadia,Collection,Snag no ID,Snag,hardwood,TBD,TBD,TBD,TBD,TBD,9825,30.78456,-83.99936,NA,3,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/25,Arcadia,Collection,Snag no ID,Snag,hardwood,TBD,TBD,TBD,TBD,TBD,9825,30.78456,-83.99936,NA,3,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/25,Arcadia,Collection/cam deployment,Snag no ID,Snag,hardwood,TBD,TBD,TBD,TBD,TBD,9825,30.78456,-83.99936,NA,3,Yes (1st collection),NA,NA,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
9/18/25,Arcadia,Final collection/trap takedown,Snag no ID,Snag,hardwood,TBD,TBD,TBD,TBD,TBD,9825,30.78456,-83.99936,NA,3,Yes,NA,NA,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
8/18/25,Greenwood,Collection,No snag 1,Canopy gap,NA,NA,NA,NA,NA,NA,NA,30.845899,-84.019171,21.2,10.9,No,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/25,Greenwood,Collection,No snag 1,Canopy gap,NA,NA,NA,NA,NA,NA,NA,30.845899,-84.019171,21.2,10.9,No,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/25,Greenwood,Final collection/trap takedown,No snag 1,Canopy gap,NA,NA,NA,NA,NA,NA,NA,30.845899,-84.019171,21.2,10.9,No,"Bushnell 9, pointed N at trap",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/25,Greenwood,Collection,No snag 2,Canopy gap,NA,NA,NA,NA,NA,NA,NA,30.86018,-84.014753,No snag within line of sight,5.5,Yes,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/25,Greenwood,Collection,No snag 2,Canopy gap,NA,NA,NA,NA,NA,NA,NA,30.86018,-84.014753,No snag within line of sight,5.5,No,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/25,Greenwood,Final collection/trap takedown,No snag 2,Canopy gap,NA,NA,NA,NA,NA,NA,NA,30.86018,-84.014753,No snag within line of sight,5.5,Yes,"Bushnel 7, pointed N at trap",Yes,3,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,
